Month,Year,suicide_count,Suicide_age12to19,suicide_age20to29,suicide_age30to44,suicide_age45to59,suicide_age60plus,suicide_male,suicide_female,suicide_firearm,suicide_cut,suicide_poison,suicide_fall,suicide_sofocation
"Jan., 1999",1999,2498,177,423,790,531,86,2013,485,1478,38,414,56,436
"Feb., 1999",1999,2296,150,348,735,516,88,1842,454,1323,28,411,51,391
"Mar., 1999",1999,2465,179,424,727,556,101,1955,510,1381,25,442,61,473
"Apr., 1999",1999,2475,174,406,786,554,92,2005,470,1411,25,437,45,459
"May, 1999",1999,2542,188,381,793,600,102,2043,499,1419,40,394,84,482
"Jun., 1999",1999,2434,122,388,760,577,97,1965,469,1375,32,417,52,461
"Jul., 1999",1999,2550,133,424,803,595,91,2083,467,1437,49,387,60,492
"Aug., 1999",1999,2589,144,408,844,590,108,2063,526,1421,42,404,84,524
"Sep., 1999",1999,2251,144,351,704,536,88,1820,431,1294,34,377,45,414
"Oct., 1999",1999,2439,161,374,758,584,102,1952,487,1406,30,412,58,426
"Nov., 1999",1999,2424,137,413,747,608,93,1943,481,1362,34,415,48,468
"Dec., 1999",1999,2236,119,344,727,512,88,1774,462,1292,27,383,49,401
"Jan., 2000",2000,2592,190,417,779,615,103,2082,510,1447,35,451,58,504
"Feb., 2000",2000,2338,156,409,739,566,74,1904,434,1318,16,431,50,426
"Mar., 2000",2000,2520,167,420,762,625,95,2037,483,1468,33,416,47,456
"Apr., 2000",2000,2483,166,380,740,618,104,1954,529,1372,40,432,64,464
"May, 2000",2000,2622,162,394,815,630,107,2103,519,1449,35,436,40,544
"Jun., 2000",2000,2445,144,385,769,578,79,1963,482,1415,27,381,48,466
"Jul., 2000",2000,2482,121,400,749,611,99,1999,483,1434,35,365,54,489
"Aug., 2000",2000,2556,161,404,780,601,100,2046,510,1410,40,438,48,509
"Sep., 2000",2000,2336,147,368,739,548,100,1870,466,1318,35,371,54,472
"Oct., 2000",2000,2480,176,408,743,614,100,1983,497,1383,29,394,52,498
"Nov., 2000",2000,2273,162,362,660,586,82,1864,409,1294,28,366,47,456
"Dec., 2000",2000,2223,131,367,738,553,64,1813,410,1278,30,378,45,404
"Jan., 2001",2001,2510,157,365,764,659,82,2044,466,1443,35,432,43,465
"Feb., 2001",2001,2328,163,359,669,598,78,1901,427,1328,30,392,45,455
"Mar., 2001",2001,2546,150,395,786,634,83,2096,450,1441,35,425,51,500
